location,bhk,total_sqft,bath,price
Kentitra,5,2524,3,1296691
Kentitra,5,2887,4,1323564
Kentitra,2,934,1,556291
Kentitra,3,2362,2,1128728
Kentitra,3,2209,3,1176357
Kentitra,1,1144,1,846418
Kentitra,3,1350,1,819571
Kentitra,1,1044,1,582579
Kentitra,4,1658,2,869177
Kentitra,5,2610,3,1257707
Kentitra,2,1058,1,641873
Kentitra,6,2709,4,1208814
Kentitra,5,2876,4,1443332
Kentitra,6,3400,3,1620687
Kentitra,2,1245,1,775373
Kentitra,6,2462,3,1240176
Kentitra,5,3352,3,1656408
Kentitra,3,1416,2,852140
Kentitra,1,932,2,525901
Kentitra,5,3036,3,1859249
Kentitra,5,2732,4,1370271
Kentitra,1,1090,1,606183
Kentitra,3,1962,3,989401
Kentitra,2,1144,2,729080
Kentitra,3,1509,2,865466
Kentitra,6,2873,4,1202537
Kentitra,1,1042,1,695303
Kentitra,2,790,1,405032
Kentitra,3,1442,2,730536
Kentitra,2,1141,2,904222
Kentitra,6,2618,3,1401874
Kentitra,5,2543,3,1224768
Kentitra,5,3145,3,1575069
Kentitra,5,2826,4,1446302
Kentitra,3,2155,2,992161
Kentitra,6,2789,3,1330396
Kentitra,4,1662,2,847627
Kentitra,3,2020,2,920353
Kentitra,5,2664,3,1413070
Kentitra,5,3090,3,1538679
Kentitra,3,1568,3,851730
Kentitra,4,1991,2,1137061
Kentitra,4,2360,3,1142057
Kentitra,5,2836,4,1205413
Kentitra,5,2514,4,1268160
Kentitra,4,1445,2,775566
Kentitra,1,898,1,576981
Ifran,2,955,1,600768
Ifran,6,3350,3,1659072
Ifran,2,779,2,464288
Ifran,5,3421,3,1560920
Ifran,4,1576,2,692758
Ifran,2,992,2,568861
Ifran,6,3493,3,1808516
Ifran,3,2157,3,1033231
Ifran,4,1992,3,1007169
Ifran,5,2554,3,1446641
Ifran,4,1465,2,750969
Ifran,4,2043,3,1027435
Ifran,6,3090,3,1820320
Ifran,4,1762,3,816605
Ifran,5,3479,3,1780932
Ifran,3,2050,3,1060672
Ifran,3,1808,3,999124
Ifran,2,1110,1,837152
Ifran,3,2327,2,999666
Ifran,1,1148,2,800894
Ifran,5,2891,3,1194292
Ifran,6,2807,3,1184193
Ifran,3,1775,3,795284
Ifran,4,1903,3,956873
Ifran,6,2528,4,1312160
Ifran,5,2654,4,1262677
Ifran,6,2858,3,1305247
Ifran,4,1546,3,689721
Ifran,3,2171,2,1004676
Ifran,3,2326,2,1095560
Ifran,1,1252,1,865012
Ifran,6,2552,4,1352217
Ifran,6,3340,4,1570221
Ifran,6,3130,4,1448102
Ifran,6,2870,3,1416003
Ifran,3,2238,2,1078317
Ifran,4,1511,3,904973
Ifran,4,2023,3,1161590
Ifran,3,1415,2,767257
Ifran,6,3067,3,1718425
Ifran,2,1257,2,741568
Ifran,6,3035,4,1848177
Ifran,6,3096,3,1421600
Ifran,5,3171,3,1606410
Ifran,5,2459,3,1138107
Ifran,3,1623,3,681156
Ifran,4,1856,3,1087094
Ifran,4,1942,2,1137985
Ifran,4,2019,2,964436
Ifran,6,2647,4,1359825
Safi,6,2523,4,1410025
Safi,2,1137,1,895384
Safi,4,1831,3,939457
Safi,4,2290,3,1187986
Safi,5,2860,3,1252852
Safi,2,1291,1,720321
Safi,3,1424,1,820022
Safi,3,1909,2,987149
Safi,5,2773,3,1441715
Safi,4,1461,2,835473
Safi,3,2323,3,1084606
Safi,1,1021,1,413532
Safi,6,3151,3,1540649
Safi,6,3434,4,1553693
Safi,3,1500,1,833405
Safi,1,1047,1,606219
Safi,3,2290,2,1021608
Safi,3,1565,3,937508
Safi,4,1409,1,770175
Safi,5,2458,4,1124958
Safi,3,1599,2,917817
Safi,6,3460,3,1834635
Safi,1,1035,1,619926
Safi,6,2687,3,1380736
Safi,1,1069,2,513174
Safi,6,3299,4,1600144
Safi,2,968,1,537622
Safi,6,2658,4,1383626
Safi,4,1816,3,1041834
Safi,2,1193,2,818753
Safi,3,2187,2,948400
Safi,5,3299,4,1493499
Safi,2,1269,2,784741
Safi,1,820,2,418576
Safi,3,1880,3,1066765
Safi,3,2382,3,1121797
Safi,6,2956,4,1176689
Safi,5,2810,4,1177496
Safi,4,1525,2,944219
Safi,3,2058,3,1141968
Safi,6,3079,4,1411880
Safi,4,1363,2,824810
Safi,3,1757,3,924218
Safi,5,2623,3,1415878
Safi,5,2699,4,1387343
Safi,5,2647,4,1125177
Safi,5,3084,4,1766168
Safi,5,3184,3,1847656
Safi,1,1143,2,946185
Safi,6,3102,3,1618118
Berrched,6,3274,4,1785900
Berrched,1,978,2,408144
Berrched,5,2459,4,1130353
Berrched,4,1991,2,1027581
Berrched,5,2773,4,1288759
Berrched,6,3260,4,1699021
Berrched,6,3044,4,1636481
Berrched,1,1300,2,853810
Berrched,5,2559,3,1226151
Berrched,4,1913,2,1135241
Berrched,5,2686,4,1213228
Berrched,5,3004,3,1783131
Berrched,2,859,2,688907
Berrched,3,1401,2,849675
Berrched,6,3330,4,1600345
Berrched,4,1864,2,986223
Berrched,1,1116,2,879368
Berrched,2,1287,2,893071
Berrched,4,1995,2,1045468
Berrched,3,1671,3,943812
Berrched,5,3174,4,1403942
Berrched,3,2334,2,990832
Berrched,1,906,2,610990
Berrched,4,1754,2,920836
Berrched,2,824,1,658714
Berrched,4,1389,1,903801
Berrched,6,2885,4,1426901
Berrched,4,1417,1,786986
Berrched,6,3429,4,1477692
Berrched,3,1712,3,942655
Berrched,5,3326,3,1781016
Berrched,5,2955,3,1174885
Berrched,4,2315,2,1132631
Berrched,4,1528,3,825223
Berrched,5,3118,3,1445658
Berrched,5,2880,3,1374772
Berrched,1,914,1,405569
Berrched,1,1126,1,920728
Berrched,6,3106,4,1467236
Berrched,5,3071,3,1651534
Berrched,6,2554,3,1284108
Berrched,4,2107,2,1159590
Berrched,4,1604,3,692807
Berrched,1,777,2,652666
Berrched,2,947,1,434344
Berrched,6,2608,3,1378123
Berrched,2,1245,2,684693
Berrched,3,1894,2,1169785
Berrched,1,1188,1,737674
Berrched,6,2988,4,1151592
Berrched,6,3429,4,1568498
Berrched,5,3078,3,1842906
Berrched,6,3164,4,1472997
Berrched,6,3074,3,1595914
Berrched,5,3486,4,1636298
Berrched,6,3159,3,1485124
Berrched,3,2016,3,1178821
Berrched,6,3023,4,1577579
Berrched,2,1165,1,816477
Casablanca,6,2681,4,1367126
Casablanca,3,2359,3,1051452
Casablanca,4,1709,2,699132
Casablanca,5,2598,3,1167966
Casablanca,1,804,1,629119
Casablanca,4,1501,,892397
Casablanca,3,1939,3,1118363
Casablanca,5,2504,4,1186279
Casablanca,6,2672,4,1169887
Casablanca,4,1972,3,1135446
Casablanca,2,927,1,531669
Casablanca,1,1006,1,654674
Casablanca,6,3477,3,1797644
Casablanca,5,3353,3,1873679
Casablanca,1,1112,2,792470
Casablanca,4,1328,1,691444
Casablanca,3,2294,3,968653
Casablanca,4,2205,3,992278
Casablanca,6,2616,3,1381586
Casablanca,4,2005,2,1076581
Casablanca,1,818,1,481881
Casablanca,5,3200,4,1535714
Casablanca,5,2485,4,1348113
Casablanca,4,1940,3,1059043
Casablanca,6,2689,4,1132175
Casablanca,6,3383,3,1552841
Casablanca,4,1595,3,766561
Casablanca,6,2494,4,1139775
Casablanca,3,2323,3,1006669
Casablanca,6,3360,4,1615410
Casablanca,6,3340,3,1504128
Casablanca,6,2838,4,1195330
Casablanca,3,2123,3,937358
Casablanca,1,1129,2,932475
Casablanca,3,1889,3,959484
Casablanca,6,3158,3,1692002
Casablanca,5,2595,3,1109298
Casablanca,1,880,1,594744
Casablanca,6,3405,3,1606998
Casablanca,6,2594,3,1314430
Casablanca,5,2588,3,1244959
Casablanca,1,1145,2,894358
Casablanca,5,3476,4,1814157
Casablanca,6,3375,4,1894758
Casablanca,3,1730,3,721216
Casablanca,1,1230,1,866464
Casablanca,1,1213,2,692677
Casablanca,3,2136,3,991447
Casablanca,4,1967,2,1181963
Casablanca,1,1050,1,632319
Casablanca,4,1851,2,1027168
Casablanca,6,3071,3,1657568
Casablanca,3,1705,2,901497
Casablanca,4,2240,3,1058326
Casablanca,3,1806,2,1089005
Casablanca,2,796,2,485382
Casablanca,3,2333,2,1166540
Casablanca,6,2928,3,1211646
Casablanca,5,3291,3,1541059
Casablanca,5,3270,4,1804205
Casablanca,6,3116,4,1551255
Casablanca,3,1515,3,797975
Casablanca,4,1581,3,827728
Casablanca,3,2305,3,981937
Casablanca,3,1774,3,733781
Casablanca,6,3067,4,1788361
Casablanca,6,3167,3,1451309
Casablanca,4,1541,2,681227
Casablanca,5,2578,3,1115784
Casablanca,5,3244,3,1742990
Casablanca,6,3438,3,1543833
Casablanca,1,1297,1,810235
Casablanca,3,1954,3,992509
Casablanca,5,2732,3,1400994
Casablanca,5,2957,3,1250886
Casablanca,6,2584,3,1327559
Casablanca,6,2817,4,1350759
Casablanca,4,1752,2,852176
Casablanca,3,2182,3,1025236
Casablanca,1,846,1,600963
Casablanca,1,1235,1,681093
Casablanca,3,1439,2,734932
Casablanca,6,2537,4,1210226
Casablanca,3,1803,2,1065924
Casablanca,4,2335,2,1018783
Casablanca,5,2457,3,1234399
Casablanca,5,2917,4,1287676
Casablanca,4,1761,3,698087
Casablanca,5,3467,3,1660911
Casablanca,6,3328,3,1562352
Casablanca,4,2157,3,929046
Casablanca,4,1455,1,925918
Casablanca,1,1283,1,773868
Casablanca,3,1904,2,1057921
Casablanca,4,2338,3,1150142
Casablanca,3,1339,1,776895
Casablanca,6,2742,3,1287519
Casablanca,6,2428,4,1291316
Casablanca,1,1075,1,461015
Casablanca,1,1156,1,690879
Casablanca,4,1386,1,948006
Casablanca,1,764,2,529868
Casablanca,6,3338,4,1828390
Casablanca,2,1232,1,719077
Casablanca,1,1215,1,852163
Casablanca,4,1630,2,873692
Casablanca,4,1473,2,838545
Casablanca,6,2437,4,1239585
Casablanca,1,933,2,425032
Casablanca,2,753,1,538244
Casablanca,4,1496,2,790739
Casablanca,3,2193,2,935412
Casablanca,2,1294,2,702076
Casablanca,5,3212,3,1756985
Casablanca,6,3208,3,1783051
Tetouan,6,2613,3,1208344
Tetouan,5,3032,4,1871925
Tetouan,6,2980,4,1337713
Tetouan,3,1605,3,720965
Tetouan,2,840,1,520848
Tetouan,5,3010,3,1866481
Tetouan,6,3067,4,1500307
Tetouan,6,2741,3,1280643
Tetouan,2,1172,1,734447
Tetouan,4,1798,3,838670
Tetouan,5,3026,3,1645657
Tetouan,4,2282,3,1090158
Tetouan,5,3254,3,1510173
Tetouan,2,890,2,420242
Tetouan,6,2736,3,1121655
Tetouan,3,2296,3,1193151
Tetouan,5,3154,4,1799789
Tetouan,1,770,2,465917
Tetouan,4,2102,2,1074722
Tetouan,5,2562,4,1268351
Tetouan,5,2689,3,1345334
Tetouan,5,2804,3,1413701
Tetouan,6,2854,4,1310869
Tetouan,4,2217,3,1003957
Tetouan,6,2787,3,1236372
Tetouan,4,1820,3,920057
Tetouan,4,1658,3,937215
Tetouan,4,1823,3,1012128
Tetouan,4,1769,3,871951
Tetouan,3,1348,1,688702
Tetouan,2,1231,1,783415
Tetouan,2,1160,2,916337
Tetouan,4,1306,1,781505
Tetouan,3,1758,3,810229
Tetouan,5,3263,4,1639953
Tetouan,5,3226,3,1521370
Tetouan,3,1960,3,926986
Tetouan,3,2163,2,964669
Tetouan,1,881,2,634959
Tetouan,3,2210,2,1027784
Tetouan,4,2392,3,1182815
Tetouan,1,1000,1,672907
Tetouan,4,2177,2,961700
Tetouan,4,1558,2,736413
Tetouan,3,2066,2,922849
Tetouan,5,2731,4,1121444
Oujda,4,1344,1,930666
Oujda,3,1878,2,1111207
Oujda,5,2629,4,1405208
Oujda,6,3314,3,1621120
Oujda,6,2523,3,1245994
Oujda,6,2746,4,1348003
Oujda,6,3372,3,1677074
Oujda,5,2566,4,1129478
Oujda,6,3005,4,1814299
Oujda,5,2474,4,1220941
Oujda,4,2226,2,1064504
Oujda,1,900,1,501628
Oujda,4,1666,2,922450
Oujda,3,2235,3,1002156
Oujda,6,2673,3,1445696
Oujda,6,3365,4,1894307
Oujda,1,886,2,405878
Oujda,4,2282,3,1163824
Oujda,1,893,1,548806
Oujda,6,2499,4,1127743
Oujda,6,2428,3,1117617
Oujda,3,1428,2,863612
Oujda,1,796,2,563685
Oujda,6,2455,3,1205484
Oujda,6,3245,4,1888351
Oujda,6,3095,3,1428166
Oujda,3,1843,3,922748
Oujda,5,3082,3,1804666
Oujda,5,3309,3,1683952
Oujda,5,2932,4,1167661
Oujda,3,2170,3,1112203
Oujda,2,1187,2,685293
Oujda,4,1755,3,703685
Oujda,6,2852,4,1137263
Oujda,1,1024,2,476010
Oujda,6,3290,3,1862675
Oujda,4,1307,2,720644
Oujda,5,2530,4,1196420
Oujda,5,3181,4,1878727
Oujda,3,2294,2,996134
Oujda,1,1061,1,671026
Oujda,1,1298,1,922823
Oujda,3,2290,3,1173391
Oujda,5,3190,3,1481467
Oujda,1,825,1,527890
Oujda,5,2969,3,1212925
Oujda,6,3402,4,1434776
Oujda,4,2395,3,1074139
Oujda,6,2475,4,1431859
Oujda,4,2074,3,1029693
Oujda,2,1247,1,845952
Oujda,3,1353,2,919370
Oujda,4,2335,2,979247
Oujda,6,2496,4,1187201
Oujda,6,2428,3,1387627
Oujda,6,2687,3,1254193
Oujda,3,1838,2,1005682
Oujda,2,1088,1,592924
Oujda,3,1974,3,1020246
Oujda,6,2982,4,1360835
Oujda,5,3389,4,1622734
Mohammadia,4,1535,3,761012
Mohammadia,3,2391,2,1167655
Mohammadia,6,3215,3,1533317
Mohammadia,3,2029,2,1050650
Mohammadia,5,2680,4,1239914
Mohammadia,5,2812,4,1413749
Mohammadia,2,755,1,461231
Mohammadia,6,3092,3,1701195
Mohammadia,3,1699,3,740693
Mohammadia,1,886,2,644841
Mohammadia,4,2267,3,1165800
Mohammadia,6,3194,3,1440199
Mohammadia,5,3186,4,1618213
Mohammadia,3,1797,2,681682
Mohammadia,1,896,2,430118
Mohammadia,3,2053,3,973435
Mohammadia,5,3016,4,1699779
Mohammadia,2,917,1,428946
Mohammadia,1,856,1,630707
Mohammadia,3,1388,1,771151
Mohammadia,1,1080,2,563012
Mohammadia,5,3477,3,1735548
Mohammadia,2,1271,1,833214
Mohammadia,3,2224,2,940496
Mohammadia,1,1184,1,823526
Mohammadia,6,2790,4,1292232
Mohammadia,3,2336,2,1139998
Mohammadia,5,2560,4,1409117
Mohammadia,5,3323,4,1539651
Mohammadia,3,2060,3,969857
Mohammadia,6,3070,3,1899465
Mohammadia,4,1866,2,1182020
Mohammadia,6,3184,4,1545305
Mohammadia,6,3207,3,1897918
Mohammadia,5,3312,3,1711463
Mohammadia,3,2188,3,1191574
Mohammadia,4,1564,2,714757
Mohammadia,3,1435,2,902474
Mohammadia,1,1215,2,836921
Mohammadia,3,1851,3,960547
Mohammadia,3,1911,2,1164919
Mohammadia,6,2604,3,1440609
Mohammadia,5,3284,4,1467833
Mohammadia,6,2969,4,1175470
Mohammadia,6,3430,3,1738146
Mohammadia,3,1707,3,812757
Mohammadia,2,1188,2,865198
Mohammadia,3,1874,3,977497
Mohammadia,5,3320,4,1519304
Mohammadia,3,2365,2,1186598
Mohammadia,3,1461,1,749897
Mohammadia,6,2524,4,1306393
Mohammadia,2,1237,2,855455
Mohammadia,2,1202,1,945005
Mohammadia,4,1998,2,967909
Mohammadia,5,3117,4,1406222
Mohammadia,1,894,1,612117
Mohammadia,5,3293,3,1839033
Mohammadia,6,3294,4,1799556
Mohammadia,6,3223,3,1527588
Mohammadia,5,2917,3,1108222
Mohammadia,6,3324,4,1628863
Mohammadia,1,1299,1,750579
Mohammadia,5,2486,3,1391501
Mohammadia,3,1634,3,776963
Mohammadia,4,2380,2,1083646
Mohammadia,3,2254,2,1044376
Mohammadia,4,2209,2,1003736
Mohammadia,5,2759,4,1145681
Mohammadia,5,2755,4,1221195
Mohammadia,1,875,1,558365
Mohammadia,5,3208,4,1693965
Mohammadia,3,2057,2,952309
Mohammadia,5,3313,4,1854309
Mohammadia,3,1511,2,827091
Mohammadia,5,2449,4,1112882
Mohammadia,5,2598,3,1412526
Mohammadia,3,2355,2,1151433
Mohammadia,2,1032,2,539514
Mohammadia,3,1536,2,700336
Mohammadia,2,832,2,447971
Mohammadia,6,2814,3,1313835
Mohammadia,4,2069,2,1080802
Mohammadia,1,901,2,679412
Mohammadia,4,1618,2,891461
Mohammadia,3,1402,1,814647
Mohammadia,4,2020,2,1027219
Mohammadia,3,1636,3,948831
Mohammadia,5,3373,3,1789293
Mohammadia,6,2532,3,1343489
Mohammadia,3,2226,2,1035704
Mohammadia,3,1554,2,832189
Mohammadia,4,2165,3,1171323
Mohammadia,5,2494,4,1437865
Mohammadia,3,1626,2,772573
Mohammadia,5,3320,3,1600674
Mohammadia,5,2908,4,1210978
Mohammadia,6,2956,3,1226922
Mohammadia,3,1685,2,815628
Mohammadia,3,2170,3,1008884
Mohammadia,2,826,2,573857
Mohammadia,3,2126,3,1134231
Mohammadia,3,1420,2,771037
Mohammadia,5,3415,3,1662387
Mohammadia,4,1737,3,920693
Mohammadia,2,1007,2,638347
Mohammadia,2,1007,1,475922
Mohammadia,4,1889,2,1139951
Mohammadia,5,2994,3,1422977
Mohammadia,4,2335,3,1161540
Mohammadia,6,2812,4,1249280
Mohammadia,3,2213,3,1118937
Mohammadia,1,1096,2,606873
Mohammadia,1,1000,2,430727
Mohammadia,2,988,2,634865
Mohammadia,4,2056,2,971889
Mohammadia,5,3428,4,1529420
Mohammadia,2,760,1,551944
Mohammadia,3,1752,2,770392
Mohammadia,1,995,2,527704
Mohammadia,5,3040,4,1705507
Mohammadia,3,2325,2,1196197
Mohammadia,4,1926,3,1191412
Mohammadia,4,1638,2,785780
Mohammadia,6,2822,4,1252537
Mohammadia,3,1347,1,934430
Mohammadia,5,3227,4,1683793
Mohammadia,2,804,2,466704
Mohammadia,6,3281,4,1871676
Mohammadia,3,1717,3,816707
Mohammadia,4,1705,3,863408
Mohammadia,3,1379,2,908202
Mohammadia,3,1452,2,830287
Mohammadia,2,813,2,555479
Mohammadia,1,1145,1,918573
Mohammadia,5,3046,4,1797828
Mohammadia,2,970,2,517199
Mohammadia,1,1180,2,941769
Mohammadia,1,1225,1,688559
Mohammadia,2,1046,2,609705
Mohammadia,3,2040,3,1125245
Mohammadia,4,2047,3,920708
Mohammadia,5,3487,4,1580552
Mohammadia,2,1207,1,754116
Mohammadia,5,2734,3,1311336
Mohammadia,2,812,1,683806
Mohammadia,4,2191,2,1139753
Mohammadia,3,1770,2,890140
Mohammadia,4,1527,2,912428
Mohammadia,2,1149,1,910473
Mohammadia,2,926,1,400424
Mohammadia,6,2664,4,1125542
Mohammadia,1,1140,1,906306
Mohammadia,4,1548,2,864002
Mohammadia,6,2548,3,1174508
Mohammadia,4,2161,3,955713
Mohammadia,4,2096,3,977609
Mohammadia,6,3433,3,1476954
Mohammadia,3,1813,2,1090373
Mohammadia,4,1800,3,938480
Mohammadia,4,1855,3,1061843
Mohammadia,5,3333,3,1477907
Mohammadia,4,1583,3,834587
Mohammadia,4,1827,3,1111862
Mohammadia,5,3289,3,1771410
Mohammadia,5,2575,4,1134707
Mohammadia,6,3101,4,1631264
Mohammadia,3,2096,2,1042005
Mohammadia,1,790,2,574672
Mohammadia,3,2254,3,1189264
Mohammadia,4,2375,2,1052340
Mohammadia,4,2081,3,1109325
Mohammadia,1,1209,2,841457
Mohammadia,5,2639,3,1444238
Mohammadia,6,2601,3,1373206
Mohammadia,5,2751,3,1173172
Mohammadia,3,1657,3,779589
Mohammadia,2,775,2,549093
Mohammadia,4,1748,2,878403
